,Invoice Number,Description,Payment Date,Distribution Amount,Supplier,Project diverted From,Project diverted to
0,1403W0519040022,WHT MBW Con- sulting Invoices 4-12 Soroti Akisim Moroto RD,02-May-19,"84,401,341",Uganda Rev- enue Authority,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
1,1403W0519040023,Gibb Africa In- voices 4-12 Soroti Akisim Moroto Rd,25-Apr-19,"712,499,717",Gibb Africa Limited,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
2,1403W0519040023,Gibb Africa In- voices 4-12 Soroti Akisim Moroto Rd,25-Apr-19,"128,249,949",Gibb Africa Limited,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
3,1403W0519040024,WHT Gibb Africa Invoices 4-12 Soroti Akisim Moroto Rd,25-Apr-19,"53,664,872",Uganda Rev- enue Authority,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
4,1403W0519040025,"COWI A/S Invoices 9,10 And 11 Soroti Akisim Moroto",25-Apr-19,"534,241,276",COWI A/S,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
5,1403W0519040025,"COWI A/S Invoices 9,10 And 11 Soroti Akisim Moroto",25-Apr-19,"96,163,430",COWI A/S,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
6,1403W0519040026,"Wht Cowi Invvoices 9,10 And 11 Soroti Akisim Moroto",25-Apr-19,"69,376,159",Uganda Rev- enue Authority,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
7,1403W0519040028,COWI INV 8 Soroti Akisim Moroto,02-May-19,"22,701,305",COWI A/S,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
8,1403W0519040028,COWI INV 8 Soroti Akisim Moroto,02-May-19,"126,118,359",COWI A/S,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
9,1403W0519040029,WHT COWI INV 8 Soroti Akisim Moroto,02-May-19,"19,840,642",Uganda Rev- enue Authority,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
10,1403W0519040030,COWI INV 12 Soroti Akisim Moroto,02-May-19,"122,383,959",COWI A/S,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
11,1403W0519040030,COWI INV 12 Soroti Akisim Moroto,02-May-19,"22,029,113",COWI A/S,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
12,1403W0519040031,WHT COWI INV 12 Soroti Akisim Moroto,02-May-19,"19,604,574",Uganda Rev- enue Authority,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
13,1403W0519040032,"CRN3. IPC 21F USD. 1,520,831.17 + 35 @ 4042 Soroti Akisim Moroto Rd",02-May-19,"6,147,341,059",China Railway No.3 Engineer- ing Group Co. (Uganda) Limited-Forex,1176 Hoima- wanseko road,1403 Soroti- katakwi- Moroto-Loki- tonyala.
